gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived
68;Visual Analysis and Debugging;Netron;lutzroeder;netron;main;4354;False;1715;14355;239;MIT License;JavaScript;False
69;Visual Analysis and Debugging;Yellowbrick;DistrictDataLabs;yellowbrick;develop;853;False;488;3213;103;Apache License 2.0;Python;False
70;Workflow Tools;Argo;argoproj;argo-workflows;master;2445;False;1502;8446;176;Apache License 2.0;Go;False
71;Workflow Tools;Couler;couler-proj;couler;master;164;False;40;454;15;Apache License 2.0;Python;False
72;Workflow Tools;Flyte;flyteorg;flyte;master;230;False;104;1394;272;Apache License 2.0;Python;False
73;Workflow Tools;Kale;kubeflow-kale;kale;master;638;False;69;361;12;Apache License 2.0;Python;False
74;Workflow Tools;Kedro;quantumblacklabs;kedro;master;1219;False;444;3822;90;Other;Python;False
75;Workflow Tools;Luigi;spotify;luigi;master;3993;False;2253;14522;501;Apache License 2.0;Python;False
76;Workflow Tools;Metaflow;Netflix;metaflow;master;222;False;367;4332;216;Apache License 2.0;Python;False
77;Workflow Tools;MLRun;mlrun;mlrun;development;1171;False;83;338;9;Other;Python;False
78;Workflow Tools;Prefect;PrefectHQ;prefect;master;13956;False;578;6260;137;Apache License 2.0;Python;False
79;Workflow Tools;ZenML;maiot-io;zenml;main;1319;False;61;1141;23;Apache License 2.0;Python;False
